配送期間,配送数（予定を含む）,date
4/12～5/6,5120,2021-08-27
5/10～5/14,23235,2021-08-27
5/17～5/21,75026,2021-08-27
5/24～5/28,56559,2021-08-27
5/31～6/4,89287,2021-08-27
6/7～6/11,86842,2021-08-27
6/14～6/18,106500,2021-08-27
6/21～6/25,100632,2021-08-27
6/28～7/2,122094,2021-08-27
7/5～7/9,95604,2021-08-27
7/12～7/16,65622,2021-08-27
7/19～7/23,25050,2021-08-27
7/26～7/30,58782,2021-08-27
8/2～8/6,33264,2021-08-27
8/9～8/13,25284,2021-08-27
8/16～8/20,37158,2021-08-27
（予定）8/23～8/27,55000,2021-08-27
（予定）8/30～9/3,31000,2021-08-27
4/12～5/6,5120,2021-08-30
5/10～5/14,23235,2021-08-30
5/17～5/21,75026,2021-08-30
5/24～5/28,56559,2021-08-30
5/31～6/4,89287,2021-08-30
6/7～6/11,86842,2021-08-30
6/14～6/18,106500,2021-08-30
6/21～6/25,100632,2021-08-30
6/28～7/2,122094,2021-08-30
7/5～7/9,95604,2021-08-30
7/12～7/16,65622,2021-08-30
7/19～7/23,25050,2021-08-30
7/26～7/30,58782,2021-08-30
8/2～8/6,33264,2021-08-30
8/9～8/13,25284,2021-08-30
8/16～8/20,37158,2021-08-30
8/23～8/27,55476,2021-08-30
（予定）8/30～9/3,32000,2021-08-30
（予定）9/6～9/10,24000,2021-08-30
4/12～5/6,5120,2021-08-31
5/10～5/14,23235,2021-08-31
5/17～5/21,75026,2021-08-31
5/24～5/28,56559,2021-08-31
5/31～6/4,89287,2021-08-31
6/7～6/11,86842,2021-08-31
6/14～6/18,106500,2021-08-31
6/21～6/25,100632,2021-08-31
6/28～7/2,122094,2021-08-31
7/5～7/9,95604,2021-08-31
7/12～7/16,65622,2021-08-31
7/19～7/23,25050,2021-08-31
7/26～7/30,58782,2021-08-31
8/2～8/6,33264,2021-08-31
8/9～8/13,25284,2021-08-31
8/16～8/20,37158,2021-08-31
8/23～8/27,55476,2021-08-31
